,type,id,tags,geometry
96,node,700827311,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (8.5925342 47.4126978)
97,node,700844428,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6128973 47.3963922)
98,node,703519897,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.522404 47.3813132)
99,node,703519898,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.5218289 47.3815846)
100,node,760002125,"{'man_made': 'surveillance', 'note': 'View down in direction of the farm, but direction is remotely controllable', 'surveillance': 'outdoor'}",POINT (8.5363039 47.6873954)
101,node,790930490,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.543637799999999 47.3816227)
102,node,816196843,"{'man_made': 'surveillance', 'operator': 'Bundesgrenzschutz', 'surveillance': 'outdoor'}",POINT (9.1782638 47.654945)
103,node,816196858,"{'camera:mount': 'pole', 'camera:type': 'panning', 'check_date': '2021-09-16', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",POINT (9.1817077 47.6558516)
104,node,843534477,"{'camera:direction': '360', 'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'entrance'}",POINT (8.5278013 47.3844901)
105,node,843534992,"{'camera:direction': '100', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",POINT (8.5308409 47.3836492)
106,node,843535223,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5369432 47.3799703)
107,node,954615718,{'man_made': 'surveillance'},POINT (7.4989613 47.538025)
108,node,957402636,"{'camera:mount': 'ceiling', 'camera:type': 'dome', 'ele': '3', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",POINT (6.1225376 46.2289778)
109,node,957404496,"{'camera:direction': '280', 'camera:mount': 'ceiling', 'camera:type': 'dome', 'ele': '3', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",POINT (6.1221258 46.2286434)
110,node,994862848,"{'camera:type': 'fixed', 'man_made': 'surveillance', 'operator': 'Stadt Nidau', 'surveillance': 'public', 'surveillance:type': 'camera', 'url': 'http://www.nidau.ch/de/02_interaktiv/09_webcam/webcam.php'}",POINT (7.24022 47.12767)
111,node,1016619019,"{'camera:direction': '360', 'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'entrance'}",POINT (8.52785 47.3844974)
112,node,1038000735,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (7.2903952 47.1613629)
113,node,1038000744,"{'man_made': 'surveillance', 'name': 'Migros', 'surveillance': 'indoor'}",POINT (7.2473781 47.1406845)
114,node,1038000753,"{'man_made': 'surveillance', 'surveillance': 'indoor'}",POINT (7.2840416 47.142614)
115,node,1038000761,"{'man_made': 'surveillance', 'surveillance': 'indoor'}",POINT (7.2946665 47.1617689)
116,node,1038000774,"{'cash_withdrawal': 'postfinance_card', 'cash_withdrawal:fee': 'no', 'cash_withdrawal:purchase_required': 'no', 'cash_withdrawal:type': 'checkout', 'man_made': 'surveillance', 'name': 'Coop Pronto', 'surveillance': 'outdoor'}",POINT (7.2807207 47.1604938)
117,node,1038000789,"{'man_made': 'surveillance', 'surveillance': 'indoor'}",POINT (7.2923268 47.1611772)
118,node,1038000818,"{'man_made': 'surveillance', 'name': 'Tamoil', 'surveillance': 'outdoor'}",POINT (7.2725311999999995 47.1566543)
119,node,1038000822,"{'man_made': 'surveillance', 'name': 'Coop', 'surveillance': 'indoor'}",POINT (7.2762095 47.1548087)
120,node,1038000835,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (7.272176 47.156124)
121,node,1038000842,"{'layer': '-1', 'man_made': 'surveillance', 'surveillance': 'indoor'}",POINT (7.2424126 47.1321787)
122,node,1038000850,"{'man_made': 'surveillance', 'surveillance': 'indoor'}",POINT (7.2726784 47.1434447)
123,node,1038000881,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (7.2835889 47.1426485)
124,node,1038000926,"{'man_made': 'surveillance', 'surveillance': 'indoor'}",POINT (7.2638829 47.1399217)
125,node,1038000952,"{'cash_withdrawal': 'postfinance_card', 'cash_withdrawal:fee': 'no', 'cash_withdrawal:purchase_required': 'no', 'cash_withdrawal:type': 'checkout', 'man_made': 'surveillance', 'name': 'Coop Pronto', 'surveillance': 'indoor'}",POINT (7.2807654 47.1606141)
126,node,1058877324,"{'man_made': 'surveillance', 'surveillance:type': 'camera'}",POINT (8.5951746 46.6377336)
127,node,1073688035,"{'camera:mount': 'building', 'camera:type': 'fixed', 'contact:webcam': 'https://meteoschweiz.roundshot.com/guetsch/#/', 'man_made': 'surveillance', 'name': 'Wetterkamera Gütsch Andermatt', 'operator': 'MeteoSchweiz', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",POINT (8.6162311 46.6526502)
128,node,1088059055,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5439503 47.3788589)
129,node,1088651683,"{'camera:mount': 'wall', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (7.3957381 46.937912)
130,node,1116081157,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (9.5488876 46.7360738)
131,node,1191432077,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.3425035 47.1061113)
132,node,1200958692,"{'camera:mount': 'roof', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'fake', 'surveillance:type': 'camera', 'surveillance:zone': 'object'}",POINT (8.5329015 47.3979865)
133,node,1205467998,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5503656 47.3751375)
134,node,1277706510,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (6.0780203 46.193895499999996)
